Value;From class;From type;From method;Next invoke;Next class;Next type;Next method;Type1;Type2
canonicalParent;<java.io.File:;java.lang.String;getCanonicalPath()>;staticinvoke;<org.apache.commons.io.FilenameUtils:;boolean;directoryContains(java.lang.String,java.lang.String)>(canonicalParent, canonicalChild);java.lang.String;boolean
canonicalChild;<java.io.File:;java.lang.String;getCanonicalPath()>;staticinvoke;<org.apache.commons.io.FilenameUtils:;boolean;directoryContains(java.lang.String,java.lang.String)>(canonicalParent, canonicalChild);java.lang.String;boolean
line;<lombok.installer.eclipse.EclipseLocation:;void;uninstall()>;virtualinvoke;$stack71.<java.util.regex.Pattern:;java.util.regex.Matcher;matcher(java.lang.CharSequence)>(line);java.lang.String;java.util.regex.Matcher
line;<lombok.installer.eclipse.EclipseLocation:;void;uninstall()>;virtualinvoke;$stack74.<java.util.regex.Pattern:;java.util.regex.Matcher;matcher(java.lang.CharSequence)>(line);java.lang.String;java.util.regex.Matcher
line;<lombok.installer.eclipse.EclipseLocation:;void;uninstall()>;virtualinvoke;newContents.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
name;<java.io.File:;java.lang.String;getName()>;staticinvoke;<org.apache.commons.io.FilenameUtils:;boolean;wildcardMatch(java.lang.String,java.lang.String,org.apache.commons.io.IOCase)>(name, wildcard, $stack8);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack15.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
name;<java.io.File:;java.lang.String;getName()>;virtualinvoke;$stack8.<org.apache.commons.io.IOCase:;boolean;checkEquals(java.lang.String,java.lang.String)>(name, name2);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;staticinvoke;<org.apache.cxf.common.util.StringUtils:;boolean;isEmpty(java.lang.String)>(line);java.lang.String;boolean
s2;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;d2.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(s2);java.lang.String;java.lang.StringBuilder
line;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;lines.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;list.<java.util.Collection:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
baseName;<java.io.File:;java.lang.String;getName()>;specialinvoke;this.<cucumber.runtime.formatter.HTMLFormatter:;java.io.OutputStream;reportFileOutputStream(java.lang.String)>(baseName);java.lang.String;java.io.OutputStream
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;this.<org.apache.commons.io.LineIterator:;boolean;isValidLine(java.lang.String)>(line);java.lang.String;boolean
tokenDef;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;tokenDefPattern.<java.util.regex.Pattern:;java.util.regex.Matcher;matcher(java.lang.CharSequence)>(tokenDef);java.lang.String;java.util.regex.Matcher
tokenDef;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack36.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(tokenDef);java.lang.String;java.lang.StringBuilder
line;<java.io.BufferedReader:;java.lang.String;readLine()>;interfaceinvoke;$stack9.<java.util.List:;boolean;add(java.lang.Object)>(line);java.lang.String;boolean
line;<junit.runner.BaseTestRunner:;java.lang.String;getFilteredTrace(java.lang.String)>;staticinvoke;<junit.runner.BaseTestRunner:;boolean;filterLine(java.lang.String)>(line);java.lang.String;boolean
line;<org.apache.commons.exec.environment.DefaultProcessingEnvironment:;java.util.Map;createProcEnvironment()>;virtualinvoke;$stack24.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<org.apache.commons.exec.environment.DefaultProcessingEnvironment:;java.util.Map;createProcEnvironment()>;virtualinvoke;$stack19.<java.lang.StringBuffer:;java.lang.StringBuffer;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuffer
line;<java.io.BufferedReader:;java.lang.String;readLine()>;virtualinvoke;$stack12.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(line);java.lang.String;java.lang.StringBuilder
file;<java.io.File:;java.lang.String;getAbsolutePath()>;staticinvoke;<lombok.installer.Installer:;lombok.installer.IdeLocation;tryAllProviders(java.lang.String)>(file);java.lang.String;lombok.installer.IdeLocation
file;<java.io.File:;java.lang.String;getAbsolutePath()>;virtualinvoke;$stack19.<java.lang.StringBuilder:;java.lang.StringBuilder;append(java.lang.String)>(file);java.lang.String;java.lang.StringBuilder
name;<java.io.File:;java.lang.String;getName()>;virtualinvoke;$stack8.<org.apache.commons.io.IOCase:;boolean;checkEndsWith(java.lang.String,java.lang.String)>(name, suffix);java.lang.String;boolean
